CDIAC Number,Issuer,Issuance Documents,Sold Status,Sale Date,ADTR Report,ADTR Filing Status,ADTR Reportable,ADTR Reportable Next Fiscal Year,ADTR Last Reported Year,Debt Policy,Issuer County,MKR Authority,Local Obligation,MKR CDIAC Number,Issuer Group,Issuer Type,Project Name,Principal Amount,New Money,Refunding Amount,Net Issue Discount/Premium,Debt Type,Purpose,Source of Repayment,TIC Interest Rate,NIC Interest Rate,Interest Type,Other Interest Type,Federally Taxable,First Optional Call Date,Final Maturity Date,CAB Flag,S and P Rating,Moody Rating,Fitch Rating,Other Rating,Guarantor Flag,Guarantor,Sale Type (Comp/Neg),Private Placement Flag,Underwriter,Lender,Purchaser,Placement Agent,Financial Advisor,Bond Counsel,Co-Bond Counsel,Disclosure Counsel,Borrower Counsel,Trustee,Issue Costs Pct of Principal Amt,Total Issuance Costs,UW Takedown,UW Mngmt Fee,UW Expenses,UW Total Discount/Spread,Placement Agent Fee,Financial Advisor Fee,Bond Counsel Fee,Co-Bond Counsel Fee,Disclosure Counsel Fee,Borrower Counsel Fee,Trustee Fee,Credit Enhancement Fee,Rating Agency Fee,Other Issuance Expenses
1995-0872,Dixon,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,06/30/1995 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,N First St AD,21780433,21780433,0,,Special assessment bond,"Multiple Capital Improvements, Public Works",Special assessments,,7.569,NIC,,,,09/02/2020 12:00:00 AM,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Comp,Unknown,M L Stern & Company,,,,KNN/Kelling Northcross & Nobriga Inc,Jones Hall Hill & White,,,,Bank of America NT & SA,2.18,475000,,,,435608,,,,,,,,,,
1985-0776,Vacaville,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,07/23/1985 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,,14430000,14430000,0,,Certificates of participation/leases,"Multiple Capital Improvements, Public Works",General fund of issuing jurisdiction,,9.43,NIC,,,,,N/A,S:BBB+,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Imperial Securities,,,,,Jones Hall Hill & White,,,,,0.76,110000,,,,432900,,,,,,,,,,
1988-0177,Vacaville,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,04/12/1988 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,Nut Tree Road AD,4470597,4470597,0,,Special assessment bond,"Multiple Capital Improvements, Public Works",Special assessments,8.123,,TIC,,,,09/02/2013 12:00:00 AM,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Drexel Burnham Lambert Inc,,,,KNN/Kelling Northcross & Nobriga Inc,Jones Hall Hill & White,,,,,0,0,,,,71529.05,,,,,,,,,,
2014-1241,Dixon Unified School District,2014-1241.pdf (http://cdiacdocs.sto.ca.gov/2014-1241.pdf),SOLD,08/08/2014 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,K-12 School District,,9537362,0,9537362,,Certificates of participation/leases,K-12 School Facility,General fund of issuing jurisdiction,4.015,,,,,09/01/2017 12:00:00 AM,09/01/2042 12:00:00 AM,NO,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,YES,,,TPB Investments Inc,Southwest Securities Inc,Capitol Public Finance Group,Quint & Thimmig LLP,,,,,2.01,191790.54,,,,,35000,65000,50000,,,,3000,,,38790.54
1997-0308,Rio Vista,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,04/10/1997 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,River View Point AD No 96-1,2000000,2000000,0,,Special assessment bond,"Multiple Capital Improvements, Public Works",Special assessments,,7.648,NIC,,,,09/02/2022 12:00:00 AM,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Stone & Youngberg,,,,,Jones Hall Hill & White,,,,First Trust of California NA,5.58,111500,,,,50000,,,,,,,,,,
2000-1322,Fairfield,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,06/28/2000 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,,4645000,4645000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,4.676,NIC,,,,09/28/2001 12:00:00 AM,N/A,S:SP-1+,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Stone & Youngberg,,,,,Jones Hall A Professional Law Corp,,,,Fairfield,0.7,32392,,5000,,,,,,,,,,,,
1986-0076,Fairfield,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,03/18/1986 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,Suisun Valley Rd-Kaiser AD,4900000,4900000,0,,Special assessment bond,Street Construction and Improvements,Special assessments,,8.053,NIC,,,,,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Stone & Youngberg,,,,,Jones Hall Hill & White,,,,,0,0,,,,0,,,,,,,,,,
1999-1997,Vallejo City Unified School District,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,12/03/1999 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,K-12 School District,,18000000,1487852,16512148,,Certificates of participation/leases,K-12 School Facility,General fund of issuing jurisdiction,,,VAR,,,,07/01/2025 12:00:00 AM,N/A,NOT RATED,M:Aa2/VMIG1,NOT RATED,NOT RATED,LOC,Bayerische Vereinsbank AG,Neg,Unknown,Banc of America Securities,,,,Vogel Lopez & Associates Inc,Quint & Thimmig LLP,,,,US Bank Corporate Trust Services,1.26,226200,,,,27000,,,,,,,,,,
2005-0410,Vacaville,2005-0410.pdf (http://cdiacdocs.sto.ca.gov/2005-0410.pdf),SOLD,04/27/2005 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,Nut Tree AD,7275000,7275000,0,,Special assessment bond,"Multiple Capital Improvements, Public Works",Special assessments,5.709,,TIC,,,09/02/2012 12:00:00 AM,09/02/2035 12:00:00 AM,NO,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Stone & Youngberg,,,,KNN/Kelling Northcross & Nobriga Inc,Jones Hall A Professional Law Corp,,,,U.S. Bank National Association,6.53,475000,,,,87300,,,,,,,,,,
1997-0401,Solano Community College District (CCCFA),None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,06/06/1997 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,Community College District,CCCFA 1997 TRAN Pool A & B,5000000,5000000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,4.023,NIC,,,,09/30/1998 12:00:00 AM,N/A,S:SP-1+,NOT RATED,NOT RATED,NOT RATED,Ins,Financial Security Assurance Inc,Neg,Unknown,Lehman Brothers,,,,Sutro & Company Inc,Stradling Yocca Carlson & Rauth,,,,US Trust Company of California NA,0,0,,,,0,,,,,,,,,,
2006-0336,Vacaville,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,05/10/2006 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,,1350000,1350000,0,,Other note,"Parks, Open Space",Other sources,,,VAR,,,,05/10/2016 12:00:00 AM,NO,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,YES,,,Vacaville,,,Jones Hall A Professional Law Corp,,,,,,,,,,,,,,,,,,,,
1989-1123,Rio Vista,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,12/05/1989 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,,550000,550000,0,,Public enterprise revenue bond,"Wastewater Collection, Treatment",Public enterprise revenues,,8.375,NIC,,,,,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Seidler-Fitzgerald Public Finance,,,,,Jones Hall Hill & White,,,,,9.09,50000,,,,35000,,,,,,,,,,
1989-0006,Vallejo Redevelopment Agency,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,01/17/1989 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,Redevelopment Agency,Waterfront Development,2485000,317306,2167694,,Tax allocation bond,"Redevelopment, Multiple Purposes",Tax increment,,8.002,NIC,,,,05/01/2019 12:00:00 AM,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Mark Pressman Associates,,,,,Jones Hall Hill & White,,,,,1.37,34016,,,,62125,,,,,,,,,,
2003-0015,Marine World Joint Powers Authority,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,01/16/2003 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,JPA & Marks-Roos,Joint Powers Agency,,12000000,12000000,0,,Revenue anticipation note,"Cash Flow, Interim Financing",Public enterprise revenues,4.75,,TIC,,Federally Taxable,,11/01/2003 12:00:00 AM,NO,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Six Flags Inc,,,,Rod Gunn Associates Inc,Quint & Thimmig LLP,,,,BNY Mellon Capital Markets LLC,0.33,39679,,,,,,8000,20500,,5000,,4664,,,1515
1993-0430,Fairfield Public Financing Authority,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,06/14/1993 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,JPA & Marks-Roos,Joint Powers Agency,,21295000,528412,20766588,,Revenue bond,"Multiple Capital Improvements, Public Works",Public enterprise revenues,,5.548,NIC,,,,,N/A,S:AAA,M:Aaa,NOT RATED,NOT RATED,Ins,Guarantor Unknown,Neg,Unknown,Stone & Youngberg,,,,,Jones Hall Hill & White,,,,,0,0,,,,0,,,,,,,,,,
1998-0014,Dixon Public Financing Authority,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,01/22/1998 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,YES,NO,,JPA & Marks-Roos,Joint Powers Agency,Sr Lien Series A,10570000,1181650,9388350,,Revenue bond,"Multiple Capital Improvements, Public Works",Local obligations,,4.87,NIC,,,,09/02/2020 12:00:00 AM,NO,NOT RATED,M:Aaa,NOT RATED,NOT RATED,Ins,Municipal Bond Investors Assurance Corporation,Neg,Unknown,M L Stern & Company,,,,KNN/Kelling Northcross & Nobriga Inc,Jones Hall A Professional Law Corp,,,,First Trust of California NA,2.29,242500,,,,89845,,,,,,,,,,152655
1993-1904,Suisun City Redevelopment Agency,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,06/09/1993 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,Redevelopment Agency,,58410000,0,58410000,,Tax allocation bond,"Redevelopment, Multiple Purposes",Tax increment,,5.763,NIC,,,,,N/A,S:AAA,M:Aaa,NOT RATED,NOT RATED,Ins,Unknown,Neg,Unknown,Sutro & Company Inc,,,,,Jones Hall Hill & White,,,,,0,0,,,,686317.05,,,,,,,,,,
1998-1110,Fairfield-Suisun Unified School District,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,06/03/1998 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,K-12 School District,,5000000,5000000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,3.725,NIC,,,,06/30/1999 12:00:00 AM,N/A,S:SP-1+,NOT RATED,NOT RATED,NOT RATED,,,Comp,Unknown,BancAmerica Robertson Stephens,,,,KNN/Kelling Northcross & Nobriga Inc,Jones Hall A Professional Law Corp,,,,Solano County,0.35,17500,,,,0,,,,,,,,,,
2000-0047,Benicia,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,01/14/2000 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,Consolidated ReAD Drake/Gateway,1182000,0,1182000,,Special assessment bond,"Multiple Capital Improvements, Public Works",Special assessments,,5.937,NIC,,,,09/02/2014 12:00:00 AM,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Mark Pressman Associates,,,,,Jones Hall A Professional Law Corp,,,,US Bank Corporate Trust Services,5.61,66320,,,,24190,,,,,,,,,,
2001-0466,Vallejo,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,05/08/2001 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,Golf Course Improvements,16350000,8000000,8350000,,Certificates of participation/leases,Recreation and Sports Facilities,General fund of issuing jurisdiction,,,VAR,,,06/13/2002 12:00:00 AM,06/01/2040 12:00:00 AM,NO,S:AAA/A-1+,NOT RATED,NOT RATED,NOT RATED,LOC,Union Bank of California,Neg,Unknown,Wulff Hansen & Company,,,,Rod Gunn Associates Inc,Quint & Thimmig LLP,,,,Union Bank of California,3.86,631159,,,,81750,,95000,95000,,35000,,8500,239576,13000,63333
1997-1059,Vacaville Unified School District,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,06/04/1997 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,K-12 School District,,4850000,4850000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,3.852,NIC,,,,06/30/1998 12:00:00 AM,N/A,S:SP-1+,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,First Albany Corporation,,,,KNN/Kelling Northcross & Nobriga Inc,Jones Hall A Professional Law Corp,,,,Solano County,0.34,16600,,,,0,,,,,,,,,,
1992-0062,Vallejo CFD No 1988-1,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,01/24/1992 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Mello-Roos,Community Facilities District,Sky Valley,14530000,14530000,0,,Limited tax obligation bond,"Multiple Capital Improvements, Public Works",Special tax revenues,8.901,,TIC,,,,08/01/2021 12:00:00 AM,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Mark Pressman Associates,,,,Rod Gunn Associates Inc,Jones Hall Hill & White,,,,,0.57,82750,,,,363250,,,,,,,,,,
2014-1256,Dixon,2014-1256.pdf (http://cdiacdocs.sto.ca.gov/2014-1256.pdf),SOLD,08/12/2014 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,Sewer,1320000,1320000,0,,Certificates of participation/leases,"Wastewater Collection, Treatment",Public enterprise revenues,2.1,,,,,09/01/2014 12:00:00 AM,03/01/2017 12:00:00 AM,NO,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,YES,,,CoBiz Financial Services Inc,Piper Jaffray & Co,Del Rio Advisors LLC,Quint & Thimmig LLP,,,,,2.55,33698,,,,,7000,7000,10000,,,,,,,9698
2001-1381,Vallejo Redevelopment Agency,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,08/06/2001 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,Redevelopment Agency,,5410000,4985000,425000,,Tax allocation bond,Multifamily Housing,Tax increment,,7,NIC,,,10/01/2011 12:00:00 AM,10/01/2031 12:00:00 AM,NO,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Wells Fargo Institutional Securities,,,,Rod Gunn Associates Inc,Quint & Thimmig LLP,,,,Wells Fargo Bank National Association,5.26,284775,,,,108200,,52500,52500,,25000,,3500,,,43075
1993-1756,Vacaville,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,10/21/1993 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,Vaca Vly Bus Pk/Browns Vly Rd/Alamo Corr,3883000,0,3883000,,Special assessment bond,"Multiple Capital Improvements, Public Works",Special assessments,,5.285,NIC,,,,,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Association of Bay Area Governments,,,,Liberty Public Financial Advisors,Sturgis Ness Brunsell & Assaf,,,,,0.83,32402,,,,59425,,,,,,,,,,
1985-0328,Fairfield Housing Authority,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,05/30/1985 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Special Districts,Housing Authority,Fannie Mae/Woodside Court Apts,4750000,4750000,0,,Conduit revenue bond,Multifamily Housing,Private obligor payments,,8.704,NIC,,,,08/01/1997 12:00:00 AM,N/A,S:AAA,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Bank of America NT & SA,,,,,Jones Hall Hill & White,,,,,3.88,184400,,,,117763,,,,,,,,,,
2016-2721,Benicia,2016-2721.pdf (http://cdiacdocs.sto.ca.gov/2016-2721.pdf),SOLD,11/08/2016 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,Energy Conservation,11745000,0,11745000,454158,Certificates of participation/leases,"Multiple Capital Improvements, Public Works",General fund of issuing jurisdiction,2.994,3.002,,,,04/15/2027 12:00:00 AM,04/15/2036 12:00:00 AM,NO,S:AA/AA-,NOT RATED,NOT RATED,NOT RATED,Ins,Assured Guaranty Municipal Corporation,Comp,NO,UBS Financial Services,,,,Wulff Hansen & Company,Quint & Thimmig LLP,,Quint & Thimmig LLP,,U.S. Bank National Association,3.39,398627.29,159262.2,0,0,159262.2,0,45000,45000,0,30000,0,6300,58830.99,19500,34734.1
1990-0160,Suisun City Redevelopment Agency,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,12/04/1990 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,Redevelopment Agency,,10535000,10535000,0,,Bond anticipation note,"Redevelopment, Multiple Purposes",Tax increment,,8.216,NIC,,,,10/01/1995 12:00:00 AM,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Sutro & Company Inc,,,,,Jones Hall Hill & White,,,,,0.86,91100.64,,,,160658.07,,,,,,,,,,
1991-1215,Travis Unified School District,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,10/01/1991 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,K-12 School District,,65000,65000,0,,General obligation bond,K-12 School Facility,Property tax revenues,5,,TIC,,,,10/01/1992 12:00:00 AM,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,First Northern Bank of Dixon,,,,Government Financial Strategies Inc,Kronick Moskovitz Tiedemann & Girard,,,,,0,0,,,,0,,,,,,,,,,
1996-1546,Vallejo Public Financing Authority,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,12/04/1996 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,JPA & Marks-Roos,Joint Powers Agency,,4551293,2551293,2000000,,Revenue anticipation note,"Cash Flow, Interim Financing",Intergovernmental transfers other than grants,,5.5,NIC,,Federally Taxable,,11/02/1998 12:00:00 AM,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Vallejo Redevelopment Agency,,,,Rod Gunn Associates Inc,Jones Hall Hill & White,,,,Vallejo,0,0,,,,0,,,,,,,,,,
2008-1158,Vacaville Unified School District,2008-1158.pdf (http://cdiacdocs.sto.ca.gov/2008-1158.pdf),SOLD,11/19/2008 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,K-12 School District,Central Office,8440000,6749305,1690695,160791,Certificates of participation/leases,"Other, Multiple Educational Uses (Equipment, etc.)",General fund of issuing jurisdiction,6.296,,TIC,,,12/01/2018 12:00:00 AM,12/01/2036 12:00:00 AM,NO,S:AAA/A,NOT RATED,NOT RATED,NOT RATED,Ins,Assured Guaranty Municipal Corporation,Neg,Unknown,UBS Financial Services,,,,Government Financial Strategies Inc,Kronick Moskovitz Tiedemann & Girard,,,,The Bank of New York Mellon Trust Company NA,7.84,661932.85,,,,278338.51,,54250,25200,,,,2300,278200,9750,13894.34
1985-0243,Dixon Industrial Development Authority,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,04/23/1985 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Special Districts,Industrial Development  Authority,Bellingham Marine,1000000,1000000,0,,Conduit revenue bond,Industrial Development,Private obligor payments,,,VAR,,,,,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,Oth,Unknown,Neg,Unknown,Ranier NationalBank,,,,,Jones Hall Hill & White,,,,,1.3,13000,,,,0,,,,,,,,,,
2012-1001,Benicia,2012-1001.pdf (http://cdiacdocs.sto.ca.gov/2012-1001.pdf),SOLD,06/06/2012 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,,4270000,0,4270000,,General obligation bond,"Wastewater Collection, Treatment",Property tax revenues,1.25,1.25,,,,,08/01/2018 12:00:00 AM,NO,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,YES,,,First Republic Bank,Wulff Hansen & Company,,Jones Hall A Professional Law Corp,,,,U.S. Bank National Association,2.8,119525,,,,,,,30000,,,,2500,,,87025
2015-0731,Vacaville,2015-0731.pdf (http://cdiacdocs.sto.ca.gov/2015-0731.pdf),SOLD,04/01/2015 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,New Fire Station,6000000,6000000,0,0,Certificates of participation/leases,Public Building,General fund of issuing jurisdiction,3.25,0,,,,10/23/2020 12:00:00 AM,04/23/2030 12:00:00 AM,NO,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,YES,,,American River Bank,,,Kronick Moskovitz Tiedemann & Girard,,,,,2.69,161273,0,0,0,0,0,0,28500,0,0,0,0,0,0,132773
1989-1050,Vacaville,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,12/12/1989 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,East Monte Vista AD,2118400,2118400,0,,Special assessment bond,"Multiple Capital Improvements, Public Works",Special assessments,,7.569,NIC,,,,,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Wedbush Morgan Securities Inc,,,,KNN/Kelling Northcross & Nobriga Inc,Jones Hall Hill & White,,,,,1.19,25250,,,,31776,,,,,,,,,,
1997-1281,Vallejo,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,07/22/1997 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,,6675000,6675000,0,,Bond anticipation note,"Water Supply, Storage, Distribution",General fund of issuing jurisdiction,4.751,,TIC,,,,07/15/1999 12:00:00 AM,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,OConnor & Company Securities Inc,,,,Rod Gunn Associates Inc,Quint & Thimmig LLP,,,,Union Bank of California,2.04,136000,,,,93450,,,,,,,,,,
